Genus	Sample_341F-785R-P01-A01-1_hgrm	Sample_341F-785R-P01-A02-11_hgrm	Sample_341F-785R-P01-A03-24_hgrm	Sample_341F-785R-P01-A04-42_hgrm	Sample_341F-785R-P01-A05-55_hgrm	Sample_341F-785R-P01-A06-73_hgrm	Sample_341F-785R-P01-B01-2_hgrm	Sample_341F-785R-P01-B02-12_hgrm	Sample_341F-785R-P01-B03-25_hgrm	Sample_341F-785R-P01-B04-43_hgrm	Sample_341F-785R-P01-B05-61_hgrm	Sample_341F-785R-P01-B06-74_hgrm	Sample_341F-785R-P01-C01-3_hgrm	Sample_341F-785R-P01-C02-13_hgrm	Sample_341F-785R-P01-C03-31_hgrm	Sample_341F-785R-P01-C04-44_hgrm	Sample_341F-785R-P01-C05-62_hgrm	Sample_341F-785R-P01-C06-75_hgrm	Sample_341F-785R-P01-D01-4_hgrm	Sample_341F-785R-P01-D02-14_hgrm	Sample_341F-785R-P01-D03-32_hgrm	Sample_341F-785R-P01-D04-45_hgrm	Sample_341F-785R-P01-D05-63_hgrm	Sample_341F-785R-P01-D06-81_hgrm	Sample_341F-785R-P01-E01-5_hgrm	Sample_341F-785R-P01-E02-15_hgrm	Sample_341F-785R-P01-E03-33_hgrm	Sample_341F-785R-P01-E04-51_hgrm	Sample_341F-785R-P01-E05-64_hgrm	Sample_341F-785R-P01-E06-82_hgrm	Sample_341F-785R-P01-F01-6_hgrm	Sample_341F-785R-P01-F02-21_hgrm	Sample_341F-785R-P01-F03-34_hgrm	Sample_341F-785R-P01-F04-52_hgrm	Sample_341F-785R-P01-F05-65_hgrm	Sample_341F-785R-P01-G01-7_hgrm	Sample_341F-785R-P01-G02-22_hgrm	Sample_341F-785R-P01-G03-35_hgrm	Sample_341F-785R-P01-G04-53_hgrm	Sample_341F-785R-P01-G05-71_hgrm	Sample_341F-785R-P01-H01-8_hgrm	Sample_341F-785R-P01-H02-23_hgrm	Sample_341F-785R-P01-H03-41_hgrm	Sample_341F-785R-P01-H04-54_hgrm	Sample_341F-785R-P01-H05-72_hgrm
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium	1	0	0	4	0	0	0	0	0	11	0	0	0	0	0	15	0	0	5	0	2	17	3	30	1	0	2	0	2	259	0	0	1	0	3	0	1	1	3	1	1	0	2	0	0
Bacteria;Firmicutes;Bacilli;?;?;?	0	1	1	1	0	0	1	3	0	0	1	0	0	0	0	0	0	1	1	2	0	0	1	0	1	2	2	1	2	0	1	2	0	0	4	0	1	0	2	3	4	1	0	1	3
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	21886	26849	16992	8662	15966	18114	24801	17822	3413	6477	16260	26504	21023	16350	9017	6912	14115	21892	8609	11207	13574	5007	10430	2	15270	24208	14732	17473	22180	0	5480	17505	13459	4731	10733	21786	28666	8636	13304	33289	22947	24956	4452	13281	27452
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	2947	3697	2217	1362	2733	3054	3407	2544	427	1296	2403	3829	3005	2499	1266	1447	2257	3511	1403	1801	2235	1170	1745	2	2273	3493	2298	2628	3491	0	763	2517	2101	715	1973	3326	4407	1510	2399	5204	3612	3989	768	2517	4568
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	5410	6683	3841	2238	5107	5817	6674	5051	848	2073	5136	7116	5919	3393	3058	2487	3553	5320	2053	3428	4269	1491	3642	1	3916	6663	3557	4833	7371	0	1511	3893	4650	1508	3262	6023	7760	2048	4336	9707	7310	7543	1336	5317	8920
Bacteria;Firmicutes;Bacilli;Lactobacillales;Listeriaceae;Listeria	2652	3207	1983	1233	2462	2608	3003	2082	445	1179	2119	3258	2507	2139	1175	1416	1969	2979	1154	1573	1935	1098	1691	0	1891	2994	1872	2299	3215	0	660	2206	1810	625	1865	2741	3719	1235	2048	4603	3101	3467	720	2208	3945
Bacteria;Firmicutes;Bacilli;Lactobacillales;Vagococcaceae;Vagococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;?	2	1	2	1	0	0	1	2	0	2	2	5	1	1	0	0	1	3	0	0	1	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	1	1	0	2	3	0	0	1	1
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;?	690	813	524	314	767	739	808	611	127	425	587	893	764	582	303	458	603	816	339	461	510	419	485	1	473	818	526	601	854	3	192	585	544	207	637	800	1064	358	721	1364	830	877	231	754	1028
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	609	785	534	325	858	702	661	542	133	430	579	803	704	528	294	417	551	859	337	485	480	437	558	0	488	790	493	567	963	2	179	550	546	173	644	791	1009	376	745	1232	814	1016	238	760	1113
